part_number,manufacturer,sell_price,quantity_available,margin_percent,cost_price,cert available,leadtime
BACR15GA6-10,,0,0,,,Mfg CoC,
BACR15GA6-8B,,1.2,0,,,Mfg CoC,3 weeks
BACS12CK3-6,,2.77,0,,,Mfg CoC,3 weeks
BACS12ER3K12,,1.69,0,,,Mfg CoC,3 weeks
BACS12ER3K22,,0,0,,,Mfg CoC,
BACS12FA3K4,,0.58,0,,,Mfg CoC,3 weeks
BACS12FA3K5,,0,0,,,Mfg CoC,
BACS12FA3K9,,0.8,1200,,,Mfg CoC,3 weeks
BACS12GP3L13,,0,0,,,Mfg CoC,
BACS12GR3L15,,0,0,,,Mfg CoC,
BACS12GR3L16,,0.96,0,,,Mfg CoC,3 weeks
BACS12GR3L18,,1.66,0,,,Mfg CoC,3 weeks
BACS12GU3K11,,1.07,0,,,Mfg CoC,3 weeks
BACS12GU3K6,,1.22,0,,,Mfg CoC,3 weeks
BACS12JM3K14L,,1.02,0,,,Mfg CoC,3 weeks
BACW10AU3,,2.39,0,,,Mfg CoC,3 weeks
BACW10BN3AC,,0.07,0,,,Mfg CoC,3 weeks
BACW10BN4AP,,0.18,73,,,Mfg CoC,3 weeks
BACW10BP3ACU,,0.15,4,,,Mfg CoC,3 weeks
BACW10BP3APU,,0.18,0,,,Mfg CoC,3 weeks
BACW10BP3CD,,0.25,0,,,Mfg CoC,3 weeks
BACW10BP3DP,,0.22,0,,,Mfg CoC,3 weeks
BACW10BP3NAPU,,0,0,,,Mfg CoC,
BACW10BP4ACU,,0.98,0,,,Mfg CoC,3 weeks
BACW10BP4CD,,0.15,46,,,Mfg CoC,3 weeks
BACW10BP4DP,,0.28,0,,,Mfg CoC,3 weeks
BACW10BP5DP,,0.16,10,,,Mfg CoC,3 weeks
BACW10BP7DP,,0.33,5,,,Mfg CoC,3 weeks
BACW10BP8ACU,,1.15,20,,,Mfg CoC,3 weeks
BACW10BP8APU,,0.75,808,,,Mfg CoC,With Stock
BACW10BP8DP,,0.87,0,,,Mfg CoC,3 weeks
BACW10DM6P,,0.31,0,,,Mfg CoC,3 weeks
BACW10DY3A,,1.3,0,,,Mfg CoC,3 weeks
BACW10EG6CK,,0.19,0,,,Mfg CoC,3 weeks
BACW10P136AL,,0.22,0,,,Mfg CoC,3 weeks
BACW10P219TF,,0,0,,,Mfg CoC,
BACW10P44AL,,0.06,0,,,Mfg CoC,3 weeks
BACW10P458CD,,0.27,0,,,Mfg CoC,3 weeks
BACW10UC10,,0.05,0,,,Mfg CoC,3 weeks
BACW10UC102P,,0.29,0,,,Mfg CoC,3 weeks
BACW10UC10P,,0.32,0,,,Mfg CoC,3 weeks
BACW10UC420P,,0.29,0,,,Mfg CoC,3 weeks
BACW10X4,,1.23,0,,,Mfg CoC,3 weeks
CA2021-2,,32.5,0,,,Mfg CoC,3 weeks
CA2035,,0,0,,,Mfg CoC,
CBS-6-1-N-16F,,1.2,0,,,Mfg CoC,3 weeks
CCR264CS3-07,,,0,,,Mfg CoC,3 weeks
CCR264CS3-2,,,0,,,Mfg CoC,
CCR264CS3-3,,,0,,,Mfg CoC,
CCR264SS3-5,,,0,,,Mfg CoC,3 weeks
CEC-12,,0.21,0,,,Mfg CoC,3 weeks
CR2,,,0,,,Mfg CoC,
CR3212-4-03,,,0,,,Mfg CoC,
CR3212-5-03,,,0,,,Mfg CoC,
CR3213-4-02,,,20,,,Mfg CoC,3 weeks
CR3213-4-03,,,0,,,Mfg CoC,
CR3213-4-04,,,0,,,Mfg CoC,
CR3213-4-2,,,0,,,Mfg CoC,
CR3213-5-03,,,0,,,Mfg CoC,
CR3223-4-02,,,0,,,Mfg CoC,
CR3223-4-03,,,0,,,Mfg CoC,
CR3224-4-2,,,0,,,Mfg CoC,
CR3224-5-02,,,0,,,Mfg CoC,3 weeks
CR3522-4-02,,,0,,,Mfg CoC,3 weeks
CR3522-4-3,,,0,,,Mfg CoC,
CR3522-4-5,,,0,,,Mfg CoC,
CR3522-5-04,,,0,,,Mfg CoC,
CR3522-5-05,,,114,,,Mfg CoC,With Stock
CR3523-4-2,,,0,,,Mfg CoC,
CR3523-5-03,,,0,,,Mfg CoC,
CR3523-6-02,,,0,,,Mfg CoC,
CR3523-6-03,,,0,,,Mfg CoC,
CR3523-6-04,,,0,,,Mfg CoC,
CR3524-5-04,,,0,,,Mfg CoC,
CR3524-6-03,,,0,,,Mfg CoC,
CR3524-6-4,,,0,,,Mfg CoC,
CR3552-6-3,,,0,,,Mfg CoC,
CR4H,,0.33,6,,,Mfg CoC,3 weeks
CSR90433-5-9,,0,0,,,Mfg CoC,
EN6024K3-04,,0.81,0,,,Mfg CoC,3 weeks
HL11VF6-3,,0,0,,,Mfg CoC,
HL18PB6-4,,0,0,,,Mfg CoC,
HL70-5,,0,0,,,Mfg CoC,
HL86-6,,6.54,0,,,Mfg CoC,3 weeks
HL94-8,,0.8,0,,,Mfg CoC,3 weeks
HLT334-6-2,,0,0,,,Mfg CoC,
HLT334-6-4,,0.87,0,,,Mfg CoC,3 weeks
HLT335-6-4,,2.25,0,,,Mfg CoC,3 weeks
HLT335-6-5,,0.66,0,,,Mfg CoC,3 weeks
HLT335-6-7,,0,0,,,Mfg CoC,
HLT336-6-10,,0,0,,,Mfg CoC,
HLT336-6-11,,0.86,0,,,Mfg CoC,3 weeks
HLT336-6-3,,0,0,,,Mfg CoC,
HLT336-6-4,,3.12,0,,,Mfg CoC,3 weeks
HLT336-6-6,,0.6,0,,,Mfg CoC,3 weeks
HLT336-6-7,,0,0,,,Mfg CoC,
HLT336-6-8,,0.54,0,,,Mfg CoC,3 weeks
HLT336-8-6,,0.92,0,,,Mfg CoC,3 weeks
HLT336-8-8,,1.22,0,,,Mfg CoC,3 weeks
HLT339-5-3,,0,0,,,Mfg CoC,
HLT339-6-5,,0.12,0,,,Mfg CoC,3 weeks
HLT434-6-3,,1.29,0,,,Mfg CoC,3 weeks
HLT435-6-11,,1.19,0,,,Mfg CoC,3 weeks
HLT435-6-5,,1.19,0,,,Mfg CoC,3 weeks
HLT436-6-4,,0.85,0,,,Mfg CoC,3 weeks
HLT436-6-5,,0.76,0,,,Mfg CoC,3 weeks
HLT436-6-6,,2.25,0,,,Mfg CoC,3 weeks
HLT436-8-5,,0.66,0,,,Mfg CoC,3 weeks
HLT439-6-6,,0.75,0,,,Mfg CoC,3 weeks
HLT439-6-8,,2.93,0,,,Mfg CoC,3 weeks
M25988-1-110,,0.28,50,,,Mfg CoC,3 weeks
M25988-1-135,,0,0,,,Mfg CoC,
M25988-1-218,,1.63,0,,,Mfg CoC,3 weeks
M25988-1-234,,0,0,,,Mfg CoC,
M25988-2-036,,1.13,152,,,Mfg CoC,With Stock
M25988-3-205,,2.37,71,,,Mfg CoC,With Stock
M39029-22-192,,0.3,10,,,Mfg CoC,3 weeks
M39029/1-101,,0.38,5,,,Mfg CoC,3 weeks
M81969-14-01,,1.07,10,,,Mfg CoC,3 weeks
M83248-1-117,,0.28,0,,,Mfg CoC,3 weeks
M83248-1-125,,0.49,164,,,Mfg CoC,With Stock
M83248-1-139,,0.78,0,,,Mfg CoC,3 weeks
M83248-1-222,,0.65,1050,,,Mfg CoC,With Stock
M83248-1-243,,0,0,,,Mfg CoC,
M83248-1-354,,0,0,,,Mfg CoC,
M83248-1-912,,0.35,0,,,Mfg CoC,3 weeks
M83461-1-226,,0,0,,,Mfg CoC,
M85052-2-8,,0,0,,,Mfg CoC,
MS14102-4,,11.51,0,,,Mfg CoC,3 weeks
MS14145L4,,1.53,0,,,Mfg CoC,3 weeks
MS14145L8,,7.47,0,,,Mfg CoC,3 weeks
MS16624-4025,,0.23,0,,,Mfg CoC,3 weeks
MS16998-28,,0.38,100,,,Mfg CoC,With Stock
MS17825-4,,0,0,,,Mfg CoC,
MS20002C6,,0.18,0,,,Mfg CoC,3 weeks
MS20220-3,,0,0,,,Mfg CoC,
MS20220A1,,0,0,,,Mfg CoC,
MS20253P2-220,,0,0,,,Mfg CoC,
MS20600AD4W2,,0,0,,,Mfg CoC,
MS20995C25,,8.58,0,,,Mfg CoC,3 weeks
MS20995C40,,17.07,0,,,Mfg CoC,3 weeks
MS20995CY20,,172.8,0,,,Mfg CoC,3 weeks
MS21042-08,,0,0,,,Mfg CoC,
MS21042-3,,0.27,83,,,Mfg CoC,3 weeks
MS21042-6,,1.08,1552,,,Mfg CoC,With Stock
MS21042L04,,0,0,,,Mfg CoC,
MS21042L08,,0.11,950,,,Mfg CoC,3 weeks
MS21043-08,,0.32,172,,,Mfg CoC,3 weeks
MS21043-3,,0.28,2313,,,Mfg CoC,Per Lead-time
MS21043-4,,0.61,2320,,,Mfg CoC,Per Lead-time
MS21043-5,,0,0,,,Mfg CoC,
MS21043-6,,1.56,0,,,Mfg CoC,3 weeks
MS21047-3,,0.51,0,,,Mfg CoC,3 weeks
MS21059L4,,0.39,100,,,Mfg CoC,3 weeks
MS21060L3,,0.95,0,,,Mfg CoC,3 weeks
MS21062-3,,0.76,79,,,Mfg CoC,3 weeks
MS21141U0603,,0,0,,,Mfg CoC,
MS21256-1,,0,0,,,Mfg CoC,
MS21919WDF12,,3.38,0,,,Mfg CoC,3 weeks
MS21919WDG12,,0.56,0,,,Mfg CoC,3 weeks
MS21919WDG14,,0.66,0,,,Mfg CoC,3 weeks
MS21919WDG15,,0,0,,,Mfg CoC,
MS21919WDG22,,0.95,0,,,Mfg CoC,3 weeks
MS21919WDG3,,0,0,,,Mfg CoC,
MS21919WDG40,,2.06,0,,,Mfg CoC,3 weeks
MS21919WDG5,,0.52,13,,,Mfg CoC,3 weeks
MS21919WDG6,,0,0,,,Mfg CoC,
MS21919WDG8,,0.52,0,,,Mfg CoC,3 weeks
MS21919WDG9,,0,0,,,Mfg CoC,
MS24465-6,,0,0,,,Mfg CoC,
MS24665-132,,0.01,0,,,Mfg CoC,3 weeks
MS24665-134,,0,0,,,Mfg CoC,
MS24665-151,,0.03,617,,,Mfg CoC,3 weeks
MS24665-153,,0.02,0,,,Mfg CoC,3 weeks
MS24665-155,,0.02,24,,,Mfg CoC,3 weeks
MS24665-283,,0.02,618,,,Mfg CoC,With Stock
MS24665-302,,0.06,84,,,Mfg CoC,Per Lead-time
MS24665-374,,0.13,0,,,Mfg CoC,3 weeks
MS24665-376,,0.18,0,,,Mfg CoC,3 weeks
MS24665-439,,0,0,,,Mfg CoC,3 weeks
MS24665-86,,0.02,30,,,Mfg CoC,3 weeks
MS24665-88,,0.02,148,,,Mfg CoC,3 weeks
MS24693C28,,0.05,0,,,Mfg CoC,Per Lead-time
